Lexeme Table:
lexeme                           token type
var                              29
f                                2
,                                17
n                                2
;                                18
procedure                        30
factorial                        2
;                                18
var                              29
ans                              2
;                                18
begin                            21
ans                              2
:=                               20
n                                2
;                                18
n                                2
:=                               20
n                                2
-                                5
1                                3
;                                18
if                               23
n                                2
=                                9
0                                3
then                             24
f                                2
:=                               20
1                                3
;                                18
if                               23
n                                2
>                                13
0                                3
then                             24
call                             27
factorial                        2
;                                18
f                                2
:=                               20
f                                2
*                                6
ans                              2
;                                18
return                           34
f                                2
;                                18
end                              22
begin                            21
n                                2
:=                               20
420                              3
%                                1
69                               3
;                                18
call                             27
factorial                        2
;                                18
write                            31
f                                2
;                                18
end                              22
.                                19

Token List:
29 2 f 17 2 n 18 30 2 factorial 18 29 2 ans 18 21 2 ans 20 2 n 18 2 n 20 2 n 5 3 1 18 23 2 n 9 3 0 24 2 f 20 3 1 18 23 2 n 13 3 0 24 27 2 factorial 18 2 f 20 2 f 6 2 ans 18 34 2 f 18 22 21 2 n 20 3 420 1 3 69 18 27 2 factorial 18 31 2 f 18 22 19 
